12,0.001,1.3714713,0.46731684,1.168122,0.5599305,[0.65896768 0.50596283 0.53836301 0.        ],[0.79058065 0.69744529 0.52375329 0.        ],[0.71037905 0.58590141 0.52499078 0.        ],0.3619257823793747
13,0.001,1.3706425,0.46699497,1.1785789,0.5576144,[0.53267005 0.57383769 0.53136024 0.        ],[0.8947641  0.63570202 0.52419865 0.        ],[0.65517903 0.60248104 0.52119721 0.        ],0.3762987682884537
14,0.001,1.3726457,0.45842534,1.1469233,0.5616676,[0.64803261 0.51990622 0.52502623 0.        ],[0.79982419 0.64545217 0.61438937 0.        ],[0.7082415  0.57490185 0.55889527 0.        ],0.37292265032253963
15,0.001,1.3779303,0.46216148,1.1563979,0.5489288,[0.45999076 0.6177994  0.5514371  0.        ],[0.90734321 0.61666633 0.50419058 0.        ],[0.59901437 0.61697676 0.52228765 0.        ],0.37130291507627655
16,0.001,1.3618792,0.48071757,1.1545937,0.5639838,[0.48911344 0.61150084 0.54624072 0.        ],[0.90315017 0.65215555 0.50719227 0.        ],[0.62261838 0.63101063 0.51842862 0.        ],0.38582568928825184
17,0.001,1.3377752,0.49318966,1.0995389,0.5732484,[0.65666852 0.54243814 0.51439568 0.        ],[0.83091676 0.68218461 0.57805435 0.        ],[0.72596336 0.60346875 0.53729984 0.        ],0.3919033279514676
18,0.001,1.3419828,0.47083378,1.1023719,0.5761436,[0.56953995 0.55378061 0.61193751 0.        ],[0.87120013 0.76187281 0.40308649 0.        ],[0.67807381 0.63988637 0.47599562 0.        ],0.38116321898938893
19,0.001,1.3184626,0.4993873,1.0965393,0.55008686,[0.54573764 0.55125585 0.5242815  0.        ],[0.89473773 0.61295982 0.52899212 0.        ],[0.66518496 0.57931764 0.51886832 0.        ],0.36480770166398147
20,0.001,1.3183565,0.49507016,1.1272418,0.54140127,[0.46411894 0.58071265 0.57774793 0.        ],[0.93039173 0.63020783 0.4067676  0.        ],[0.60720314 0.60326619 0.46765713 0.        ],0.34894991876092485
21,0.001,1.3317505,0.49337035,1.0609403,0.59525186,[0.65655992 0.55872525 0.54280446 0.84364002],[0.81242968 0.71759397 0.5131898  0.15005291],[0.72051499 0.62720973 0.52013301 0.25317227],0.4199748779706107
